filtered_rssi,est_dist
-63.636421487077385,2.71
-65.23821858730734,2.22
-67.09719527248939,2.9
-67.56146646848227,2.54
-68.03991071043413,2.71
-67.70518092384827,2.08
-68.02882839890145,2.71
-68.39629908072334,2.9
-68.46279377611087,2.54
-68.51613726907486,2.54
-68.65029520001201,2.71
-68.67932032804252,2.54
-68.6272006207218,2.37
-68.58245453283836,2.37
-68.6102959794735,2.54
-68.57209231907726,2.37
-68.89233561242726,3.53
-69.06574813540858,3.09
-69.11520931556771,2.71
-69.10940619031945,2.54
-69.20024055001407,2.9
-69.23697662523554,2.71
-69.31456383485809,2.9
-69.38576460031936,2.9
-69.37009311397925,2.54
-69.31648014449468,2.37
-69.34228297201581,2.71
-69.36626962317963,2.71
-69.45918607266401,3.09
-69.44349546548312,2.54
-69.46193520279441,2.71
-69.44707664305068,2.54
-69.43310221207,2.54
-69.35912626476679,2.22
-69.37809677707354,2.71
-69.3960351455741,2.71
-69.44115484096481,2.9
-69.42904291558024,2.54
-69.47116989573102,2.9
-69.45882023338406,2.54
-69.4470578571045,2.54
-69.43584099551137,2.54
-69.4251317554591,2.54
-69.48712792340547,3.09
-69.45202179184291,2.37
-69.41839634405449,2.37
-69.43161564234416,2.71
-69.39966267386876,2.37
-69.41282681263617,2.71
-69.38237596863009,2.37
-69.41666023493143,2.9
-69.38712255351207,2.37
-69.44073962830207,3.09
-69.43183505241376,2.54
-69.50284036938179,3.31
-69.47337338297811,2.37
-69.46422466190502,2.54
-69.45537818978985,2.54
-69.42802235688879,2.37
-69.42008428705039,2.54
-69.44900403891299,2.9
-69.42281762559288,2.37
-69.3974236314718,2.37
-69.42567904075376,2.9
-69.43568504490814,2.71
-69.46262345042902,2.9
-69.52284969859686,3.31
-69.51404630505476,2.54
-69.52213997850515,2.71
-69.54649381754783,2.9
-69.53758119212391,2.54
-69.52890256756046,2.54
-69.58438526560542,3.31
-69.59096427593218,2.71
-69.58169806497644,2.54
-69.63480029623135,3.31
-69.6250281798168,2.54
-69.60023415024338,2.37
-69.63653135573753,3.09
-69.65697926450078,2.9
-69.66208082276178,2.71
-69.66706566498345,2.71
-69.68657214556782,2.9
-69.67660291601075,2.54
-69.71008218816003,3.09
-69.72853072584422,2.9
-69.70398969044463,2.37
-69.6799701036605,2.37
-69.68444968338225,2.71
-69.71663908735721,3.09
-69.70674368245385,2.54
-69.69704907299352,2.54
-69.68754900759234,2.54
-69.66469445659916,2.37
-69.64228863990726,2.37
-69.66045212795333,2.9
-69.6915652547561,3.09
-69.70886488696941,2.9
-69.71269229222105,2.71
-69.71644835661871,2.71
-69.72013510526048,2.71
-69.74961966910504,3.09
-69.73997586512819,2.54
-69.74330391174075,2.71
-69.73383814003432,2.54
-69.73721096531006,2.71
-69.74052500161825,2.71
-69.7688847398818,3.09
-69.77177215814244,2.71
-69.77461058006227,2.71
-69.75263812260252,2.37
-69.79267061499029,3.31
-69.79521561324334,2.71
-69.77327112602593,2.37
-69.7516836002361,2.37
-69.754694442346,2.71
-69.7335023360578,2.37
-69.74873940800336,2.9
-69.73976540814029,2.54
-69.74287291196117,2.71
-69.7340342850884,2.54
-69.725331827089,2.54
-69.70494805459651,2.37
-69.73197028382461,3.09
-69.77031990996701,3.31
-69.7496136090444,2.37
-69.76419165057975,2.9
-69.79017658695491,3.09
-69.78102132512475,2.54
-69.7719994697739,2.54
-69.80917688573261,3.31
-69.82285200862708,2.9
-69.80197833010652,2.37
-69.78140116957871,2.37
-69.79527860270365,2.9
-69.82031883297418,3.09
-69.84500973848267,3.09
-69.83546227596139,2.54
-69.85985699984806,3.09
-69.883917236021,3.09
-69.89643426459004,2.9
-69.89759301434766,2.71
-69.89873613590387,2.71
-69.8887268190456,2.54
-69.878851079005,2.54
-69.85801854104622,2.37
-69.87065357103396,2.9
-69.84999993343447,2.37
-69.85165265153876,2.71
-69.84228799605687,2.54
-69.83304464716834,2.54
-69.8239204731822,2.54
-69.82584537001475,2.71
-69.83865727293939,2.9
-69.8295229005011,2.54
-69.8313763547929,2.71
-69.85491259686445,3.09
-69.88898775733102,3.31
-69.8793723412711,2.54
-69.88067491065436,2.71
-69.89274210028319,2.9
-69.88313293138525,2.54
-69.87364198535613,2.54
-69.85353684660971,2.37
-69.87653506018597,3.09
-69.86715721509867,2.54
-69.87925982799284,2.9
-69.90188464563472,3.09
-69.89227629411312,2.54
-69.90406161752038,2.9
-69.91570609535583,2.9
-69.93782319099222,3.09
-69.91728653423364,2.37
-69.89699288943261,2.37
-69.90865345303828,2.9
-69.94129476958749,3.31
-69.95246042223015,2.9
-69.97402994671407,3.09
-69.9743032156383,2.71
-69.97457330971451,2.71
-69.96434086978691,2.54
-69.9437383991867,2.37
-69.92337326912313,2.37
-69.96604165616088,3.53
-69.96639672820982,2.71
-69.95630190377184,2.54
-69.94632214300061,2.54
-69.95730772432037,2.9
-69.96816871770777,2.9
-69.95809312496588,2.54
-69.95852885631416,2.71
-69.93818257132436,2.37
-69.94920390410243,2.9
-69.94973071053205,2.71
-69.9813391157272,3.31
-69.97117816743524,2.54
-69.99216837294392,3.09
-70.02326338537769,3.31
-70.02302307019536,2.71
-70.00214036651218,2.37
-70.00211828859895,2.71
-70.02271177562082,3.09
-70.02247783394931,2.71
-70.02224646058929,2.71
-70.0014446436876,2.37
-70.01170951241993,2.9
-70.02186230707392,2.9
-70.01137126445312,2.54
-70.02151482035497,2.9
-70.06231018332578,3.53
-70.09241529774826,3.31
-70.0709849784092,2.37
-70.04978628277647,2.37
-70.07996786659,3.31
