filtered_rssi,est_dist
-58.18187107389932,1.82
-60.000133326032135,1.59
-61.613286430981546,1.94
-62.19562803816807,1.82
-62.94205199988769,2.08
-63.115651121891005,1.82
-62.67623843388181,1.39
-62.96363827533735,1.94
-63.18793353190664,1.94
-63.16927211178312,1.7
-63.1539680032501,1.7
-63.05818988113513,1.59
-63.130448675286594,1.82
-63.04979959092524,1.59
-62.97980017388681,1.59
-63.10626181001944,1.94
-63.27699062534345,2.08
-63.31733567685536,1.82
-63.24759326614957,1.59
-63.18475164655766,1.59
-63.079784352213046,1.49
-63.12205345107479,1.82
-63.116682117472955,1.7
-62.98501877889444,1.39
-62.90437842295574,1.49
-63.06464375995367,2.22
-63.1377033248685,1.94
-63.0597422234165,1.49
-62.98707573639213,1.49
-62.98751736464578,1.7
-62.98793097586116,1.7
-62.92398739461305,1.49
-63.02013539634356,2.08
-63.04992716256069,1.82
-63.166853323293296,2.22
-63.07550762864781,1.39
-63.01712338679408,1.49
-63.126473437786636,2.22
-63.12308191038205,1.7
-63.119855855305076,1.7
-63.21932774457253,2.22
-63.264005528251815,1.94
-63.282089970872555,1.82
-63.22714314654363,1.49
-63.29260105098446,2.08
-63.30898276547342,1.82
-63.25650178188526,1.49
-63.22845727004959,1.59
-63.2234476811494,1.7
-63.218631683589514,1.7
-63.21399795738569,1.7
-63.27208672047743,2.08
-63.34858468458496,2.22
-63.30113455936117,1.49
-63.27524240662647,1.59
-63.34827569984715,2.22
-63.380197995132676,1.94
-63.41106566426801,1.94
-63.36574637208131,1.49
-63.41460103804428,2.08
-63.461925775581065,2.08
-63.45357784903447,1.7
-63.409787175969065,1.49
-63.43782460062528,1.94
-63.49988596417285,2.22
-63.49127763963229,1.7
-63.56804171266497,2.37
-63.592152068610694,1.94
-63.54897916428809,1.49
-63.50697421971464,1.49
-63.5476323282575,2.08
-63.587222958708125,2.08
-63.56185247750958,1.59
-63.61627693887605,2.22
-63.60661383002945,1.7
-63.643794321482794,2.08
-63.66467175309589,1.94
-63.669788057276826,1.82
-63.64453199312673,1.59
-63.679856894144415,2.08
-63.71436310325499,2.08
-63.70382511784732,1.7
-63.664256692922514,1.49
-63.69817237296425,2.08
-63.70252159477284,1.82
-63.73538036805932,2.08
-63.71074208399092,1.59
-63.68662731488046,1.59
