x,,,,,rssi,realdist,time
c2:02:0b:00:05:44,,,,,-67,2,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-66,2,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-72,1,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-73,1,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-85,2,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-95,2,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-77,1,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-84,1,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-90,2,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-93,3,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-89,3,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-91,2,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-79,1,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-97,2,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-96,1,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-93,1,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-79,1,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-77,1,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-76,1,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-96,1,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-73,2,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-88,2,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-91,2,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-76,1,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-83,1,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-72,2,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-85,3,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-77,2,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-83,1,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-92,1,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-85,1,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-78,2,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-79,3,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-91,4,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-90,5,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-72,4,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-85,5,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-82,4,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-89,4,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-74,5,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-87,4,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-91,4,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-91,3,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-97,2,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-93,2,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-77,1,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-76,1,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-81,1,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-89,2,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-79,3,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-72,4,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-93,4,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-83,5,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-74,6,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-79,7,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-87,6,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-80,5,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-81,6,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-89,5,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-73,6,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-75,5,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-95,4,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-76,3,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-94,3,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-93,4,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-93,4,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-82,5,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-72,6,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-85,5,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-88,5,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-86,6,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-78,6,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-72,5,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-76,4,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-97,5,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-81,5,"Monday, March 18, 2024"
c2:02:0b:00:05:44,,,,,-81,6,"Monday, March 18, 2024"
