rssi,est_dist
-79,4.93
-78,4.61
-79,4.93
-78,4.61
-82,6.01
-78,4.61
-78,4.61
-79,4.93
-79,4.93
-76,4.04
-81,5.63
-78,4.61
-75,3.78
-80,5.26
-77,4.31
-80,5.26
-81,5.63
-77,4.31
-79,4.93
-77,4.31
-75,3.78
-77,4.31
-80,5.26
-78,4.61
-76,4.04
-77,4.31
-75,3.78
-75,3.78
-77,4.31
-73,3.31
-81,5.63
-77,4.31
-77,4.31
-78,4.61
-74,3.53
-77,4.31
-77,4.31
-78,4.61
-81,5.63
-81,5.63
-79,4.93
-76,4.04
-75,3.78
-76,4.04
-78,4.61
-80,5.26
-77,4.31
-77,4.31
-82,6.01
-82,6.01
-82,6.01
-78,4.61
-78,4.61
-80,5.26
-78,4.61
-77,4.31
-81,5.63
-78,4.61
-76,4.04
-76,4.04
-75,3.78
-79,4.93
-80,5.26
-79,4.93
-83,6.43
-79,4.93
-81,5.63
-77,4.31
-76,4.04
-83,6.43
-74,3.53
-74,3.53
-77,4.31
-77,4.31
-76,4.04
-77,4.31
-76,4.04
-78,4.61
-75,3.78
-82,6.01
-78,4.61
-78,4.61
-76,4.04
-75,3.78
-78,4.61
-77,4.31
-74,3.53
-77,4.31
-74,3.53
-74,3.53
-81,5.63
-78,4.61
-79,4.93
-81,5.63
-78,4.61
-76,4.04
-82,6.01
-77,4.31
-77,4.31
-75,3.78
-75,3.78
-84,6.87
-78,4.61
-74,3.53
-83,6.43
-83,6.43
-78,4.61
-85,7.34
-85,7.34
-86,7.84
-80,5.26
-76,4.04
-78,4.61
-84,6.87
-75,3.78
-78,4.61
-76,4.04
-76,4.04
-76,4.04
-74,3.53
-76,4.04
-75,3.78
-77,4.31
-74,3.53
-75,3.78
-78,4.61
-82,6.01
-74,3.53
-81,5.63
-73,3.31
-81,5.63
-82,6.01
-78,4.61
-77,4.31
-78,4.61
-82,6.01
-77,4.31
-77,4.31
-82,6.01
-77,4.31
-75,3.78
-77,4.31
-74,3.53
-79,4.93
-82,6.01
-77,4.31
-76,4.04
-76,4.04
-81,5.63
-82,6.01
-84,6.87
-74,3.53
-81,5.63
-82,6.01
-78,4.61
-78,4.61
-73,3.31
-79,4.93
-81,5.63
-75,3.78
-83,6.43
-75,3.78
-81,5.63
-78,4.61
-74,3.53
-82,6.01
-77,4.31
-74,3.53
-81,5.63
-74,3.53
-77,4.31
-81,5.63
-77,4.31
-75,3.78
-80,5.26
-79,4.93
-75,3.78
-75,3.78
-75,3.78
-80,5.26
-77,4.31
-81,5.63
-74,3.53
-83,6.43
-77,4.31
-78,4.61
-78,4.61
-83,6.43
-81,5.63
-77,4.31
-76,4.04
-78,4.61
-77,4.31
-78,4.61
-80,5.26
-81,5.63
-78,4.61
-76,4.04
-74,3.53
-81,5.63
-78,4.61
-74,3.53
-73,3.31
-78,4.61
-74,3.53
-75,3.78
-81,5.63
-84,6.87
-75,3.78
-76,4.04
-75,3.78
-72,3.09
-78,4.61
-79,4.93
-79,4.93
-75,3.78
-79,4.93
-84,6.87
-77,4.31
-82,6.01
-74,3.53
-81,5.63
-83,6.43
-75,3.78
-79,4.93
-85,7.34
-77,4.31
-74,3.53
-74,3.53
-78,4.61
-79,4.93
-76,4.04
-77,4.31
-82,6.01
-77,4.31
-77,4.31
-82,6.01
-77,4.31
-85,7.34
-77,4.31
-74,3.53
-74,3.53
-84,6.87
-85,7.34
-74,3.53
-79,4.93
-75,3.78
-79,4.93
-75,3.78
-75,3.78
-83,6.43
-80,5.26
-80,5.26
-80,5.26
-79,4.93
-82,6.01
-75,3.78
-75,3.78
-75,3.78
-75,3.78
-78,4.61
-79,4.93
-78,4.61
-78,4.61
-81,5.63
-80,5.26
